GHO,YEAR,COUNTRY,GROUP,SEX_CODE,SEX,NUMERIC,GroupCode,,
Tx,1990,India,29,MLE,Male,3574886,25_29,,
Tx,2012,India,54,MLE,Male,1896798,50_54,,
Tx,2000,India,59,MLE,Male,1332471,55_59,,
Tx,2012,India,59,MLE,Male,1498074,55_59,,
Tx,1990,India,74,MLE,Male,375961,70_74,,
Tx,2000,India,74,MLE,Male,430373,70_74,,
Tx,2012,India,74,MLE,Male,512559,70_74,,
Tx,2000,India,89,MLE,Male,47878,85_89,,
Tx,2012,India,99,MLE,Male,6498,95_99,,
Tx,1990,India,4,BTSX,Both sexes,5683055,1_4,,
Tx,1990,India,9,BTSX,Both sexes,5328001,5_9,,
Tx,2012,India,19,BTSX,Both sexes,5196864,15_19,,
Tx,2012,India,29,BTSX,Both sexes,4269653,25_29,,
Tx,1990,India,34,BTSX,Both sexes,3206908,30_34,,
Tx,2000,India,34,BTSX,Both sexes,3478815,30_34,,
Tx,2000,India,44,BTSX,Both sexes,2630723,40_44,,
Tx,2000,India,74,BTSX,Both sexes,494027,70_74,,
Tx,2012,India,89,BTSX,Both sexes,82946,85_89,,
Tx,1990,India,94,BTSX,Both sexes,14376,90_94,,
Tx,2012,India,99,BTSX,Both sexes,8583,95_99,,
Tx,2000,India,110,BTSX,Both sexes,1019,100+,,
Tx,2012,India,110,BTSX,Both sexes,1825,100+,,
ex,1990,India,9,MLE,Male,60,5_9,,
ex,1990,India,24,MLE,Male,47,20_24,,
ex,2012,India,34,MLE,Male,40,30_34,,
ex,2000,India,39,MLE,Male,34,35_39,,
ex,2000,India,49,MLE,Male,26,45_49,,
ex,2012,India,49,MLE,Male,27,45_49,,
ex,1990,India,69,MLE,Male,12,65_69,,
ex,2012,India,94,MLE,Male,4,90_94,,
ex,2012,India,110,MLE,Male,3,100+,,
ex,2000,India,1,BTSX,Both sexes,62,<1,,
ex,2012,India,9,BTSX,Both sexes,65,5_9,,
ex,2012,India,14,BTSX,Both sexes,60,10_14,,
ex,2000,India,24,BTSX,Both sexes,49,20_24,,
ex,2000,India,29,BTSX,Both sexes,45,25_29,,
ex,2000,India,44,BTSX,Both sexes,32,40_44,,
ex,2012,India,54,BTSX,Both sexes,25,50_54,,
ex,1990,India,59,BTSX,Both sexes,18,55_59,,
ex,2012,India,64,BTSX,Both sexes,17,60_64,,
ex,2000,India,69,BTSX,Both sexes,13,65_69,,
ex,2012,India,69,BTSX,Both sexes,14,65_69,,
ex,1990,India,84,BTSX,Both sexes,6,80_84,,
ex,2012,India,84,BTSX,Both sexes,7,80_84,,
ex,2000,India,94,BTSX,Both sexes,4,90_94,,
ex,2012,India,94,BTSX,Both sexes,4,90_94,,
ex,2000,India,99,BTSX,Both sexes,3,95_99,,
nMx,2000,India,4,FMLE,Female,0.008,1_4,,
nMx,2000,India,14,FMLE,Female,0.001,10_14,,
nMx,2012,India,14,FMLE,Female,0.001,10_14,,
nMx,2012,India,24,FMLE,Female,0.002,20_24,,
nMx,1990,India,34,FMLE,Female,0.003,30_34,,
nMx,2012,India,39,FMLE,Female,0.002,35_39,,
nMx,2000,India,44,FMLE,Female,0.004,40_44,,
nMx,2012,India,44,FMLE,Female,0.003,40_44,,
nMx,2000,India,54,FMLE,Female,0.009,50_54,,
nMx,2000,India,59,FMLE,Female,0.014,55_59,,
nMx,2012,India,84,FMLE,Female,0.111,80_84,,
nqx,2012,India,1,FMLE,Female,0.044,<1,,
nqx,2012,India,14,FMLE,Female,0.004,10_14,,
nqx,2000,India,24,FMLE,Female,0.014,20_24,,
nqx,1990,India,29,FMLE,Female,0.017,25_29,,
nqx,2000,India,29,FMLE,Female,0.014,25_29,,
nqx,2000,India,39,FMLE,Female,0.016,35_39,,
nqx,2012,India,39,FMLE,Female,0.012,35_39,,
nqx,1990,India,44,FMLE,Female,0.024,40_44,,
nqx,2012,India,54,FMLE,Female,0.032,50_54,,
nqx,2012,India,69,FMLE,Female,0.143,65_69,,
nqx,1990,India,84,FMLE,Female,0.492,80_84,,
nqx,2000,India,94,FMLE,Female,0.671,90_94,,
nqx,2000,India,99,FMLE,Female,0.767,95_99,,
lx,2000,India,9,FMLE,Female,90374,5_9,,
lx,1990,India,14,FMLE,Female,85580,10_14,,
lx,2000,India,14,FMLE,Female,89418,10_14,,
lx,2000,India,24,FMLE,Female,87887,20_24,,
lx,2012,India,34,FMLE,Female,90731,30_34,,
lx,1990,India,39,FMLE,Female,79469,35_39,,
lx,2000,India,39,FMLE,Female,84301,35_39,,
lx,2012,India,54,FMLE,Female,85431,50_54,,
lx,2000,India,64,FMLE,Female,70697,60_64,,
lx,1990,India,94,FMLE,Female,4214,90_94,,
lx,2012,India,94,FMLE,Female,8563,90_94,,
lx,1990,India,99,FMLE,Female,1277,95_99,,
lx,2012,India,110,FMLE,Female,787,100+,,
ndx,1990,India,1,FMLE,Female,8600,<1,,x+n
ndx,2012,India,1,FMLE,Female,4430,<1,,x+n
ndx,2000,India,39,FMLE,Female,1326,35_39,,x+n
